pregunta,opcion1,opcion2,opcion3,opcion4,correcta,porcentaje_aciertos,cantidad_aciertos,cantidad_fallos,cantidad_preguntada
¿En el manga 'Dragon Ball', cuál es el nombre del padre de Goku?,Bardock,Vegeta,Raditz,Broly,Bardock,0,0,0,0
¿Qué significa 'CPU' en informática?,Unidad Central de Procesamiento,Unidad de Control de Píxeles,Centro de Poder Unificado,Tarjeta de Proceso Común,Unidad Central de Procesamiento,0,0,0,0
¿En el universo de Marvel, de qué metal está hecho el esqueleto de Wolverine?,Adamantium,Vibranium,Uru,Acero Valyrio,Adamantium,0,0,0,0
¿Cuál de estos no es un lenguaje de programación?,HTML,Python,Java,C++,HTML,0,0,0,0
¿Cuál es el nombre del protagonista principal de la saga 'The Legend of Zelda'?,Link,Zelda,Ganon,Epona,Link,0,0,0,0
¿En el anime 'Naruto', qué es un 'jutsu'?,Una técnica ninja,Un tipo de comida,Una bestia con cola,Un arma legendaria,Una técnica ninja,0,0,0,0
¿Qué compañía desarrolló el sistema operativo Windows?,Microsoft,Apple,Google,IBM,Microsoft,0,0,0,0
¿Cuál es el nombre del superhéroe de DC Comics conocido como el 'Hombre de Acero'?,Superman,Batman,Flash,Linterna Verde,Superman,0,0,0,0
¿Qué es 'Linux'?,Un núcleo de sistema operativo,Un navegador web,Un antivirus,Un lenguaje de programación,Un núcleo de sistema operativo,0,0,0,0
¿En 'Pokémon', cuál de estos es un Pokémon inicial de la región de Kanto?,Bulbasaur,Pikachu,Meowth,Eevee,Bulbasaur,0,0,0,0
¿Qué significan las siglas 'URL' en el contexto de internet?,Localizador Uniforme de Recursos,Registro Universal de Lenguajes,Lector de Unidades Remotas,Red de Usuarios Libres,Localizador Uniforme de Recursos,0,0,0,0
¿En la saga de videojuegos 'Final Fantasy VII', cuál es el nombre del villano principal?,Sephiroth,Cloud,Aerith,Tifa,Sephiroth,0,0,0,0
¿Qué es el 'Ping' en redes de computadoras?,Una medida de la latencia entre dos puntos,La velocidad de descarga,La velocidad de subida,Un tipo de virus,Una medida de la latencia entre dos puntos,0,0,0,0
¿En el manga 'One Piece', qué busca el protagonista Monkey D. Luffy?,El tesoro One Piece,Las 7 Bolas de Dragón,Convertirse en Hokage,Vengar a su familia,El tesoro One Piece,0,0,0,0
¿Qué componente de hardware es considerado el 'cerebro' de la computadora?,CPU,GPU,RAM,Disco Duro,CPU,0,0,0,0
¿En el mundo de Dungeons & Dragons, qué significa 'd20'?,Un dado de 20 caras,Un dragón con 20 de vida,Un hechizo de nivel 20,Un tipo de armadura,Un dado de 20 caras,0,0,0,0
¿Cuál es el nombre real de Spider-Man?,Peter Parker,Bruce Wayne,Clark Kent,Tony Stark,Peter Parker,0,0,0,0
¿Qué significan las siglas 'RAM' en el hardware de una computadora?,Memoria de Acceso Aleatorio,Memoria de Solo Lectura,Módulo de Aplicación Rápida,Red de Área Metropolitana,Memoria de Acceso Aleatorio,0,0,0,0
¿En el anime 'Attack on Titan' (Shingeki no Kyojin), cómo se llaman los gigantes humanoides?,Titanes,Jaegers,Ángeles,Espectros,Titanes,0,0,0,0
¿Qué lenguaje de programación es famoso por su logo de una taza de café?,Java,Python,JavaScript,Ruby,Java,0,0,0,0
¿Cuál es el nombre del protagonista del videojuego 'The Witcher 3'?,Geralt de Rivia,Jaskier,Vesemir,Ciri,Geralt de Rivia,0,0,0,0
¿En el universo de DC, cuál es la mayor debilidad de Superman?,Kryptonita,Magia,Luz solar roja,Plomo,Kryptonita,0,0,0,0
¿Qué es el 'Hokage' en el anime 'Naruto'?,El líder de la Aldea de la Hoja,Un tipo de ramen,Una técnica de invocación,El demonio de nueve colas,El líder de la Aldea de la Hoja,0,0,0,0
¿Qué compañía de videojuegos creó las consolas PlayStation?,Sony,Nintendo,Microsoft,Sega,Sony,0,0,0,0
¿Qué es 'git' en el mundo del desarrollo de software?,Un sistema de control de versiones,Un lenguaje de programación,Un editor de texto,Una base de datos,Un sistema de control de versiones,0,0,0,0
